0.0030 	EXP 	slider: contrast = 1.0
0.0030 	EXP 	slider: markerPos = None
0.0030 	EXP 	slider: autoLog = True
0.0030 	EXP 	textbox: autoLog = True
0.0085 	EXP 	Imported /Users/prernabhandari/Documents/Study_word.csv as conditions, 15 conditions, 1 params
0.0097 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'Pastry', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0277 	WARNING 	t of last frame was 24.74ms (=1/40)
0.0277 	EXP 	text: height = 0.05
0.0277 	EXP 	text: height = 0.05
0.0277 	EXP 	text: height = 0.05
0.0277 	EXP 	text: text = 'Pastry'
0.0277 	EXP 	slider: markerPos = None
0.0277 	EXP 	slider: markerPos = None
0.0277 	EXP 	text: autoDraw = True
0.0277 	EXP 	slider: autoDraw = True
2.2798 	DATA 	Mouse: Left button down, pos=(288,170)
2.2918 	EXP 	slider: markerPos = 1.94
2.2987 	EXP 	slider: markerPos = 1.94
2.3095 	EXP 	slider: markerPos = 1.94
2.3164 	EXP 	slider: markerPos = 1.94
2.3254 	EXP 	slider: markerPos = 1.94
2.3320 	EXP 	slider: markerPos = 1.94
2.3327 	DATA 	Mouse:  Left button up, pos=(288,170)
2.3425 	EXP 	slider: markerPos = 1.94
2.3431 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'study_word': 'phone', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
2.3537 	EXP 	text: autoDraw = False
2.3537 	EXP 	slider: autoDraw = False
2.3537 	EXP 	text: height = 0.05
2.3537 	EXP 	text: height = 0.05
2.3537 	EXP 	text: height = 0.05
2.3537 	EXP 	text: text = 'phone'
2.3537 	EXP 	slider: markerPos = None
2.3537 	EXP 	slider: markerPos = None
2.3537 	EXP 	text: autoDraw = True
2.3537 	EXP 	slider: autoDraw = True
2.3760 	WARNING 	t of last frame was 22.26ms (=1/44)
3.2265 	DATA 	Mouse: Left button down, pos=(297,164)
3.2337 	EXP 	slider: markerPos = 1.985
3.2417 	EXP 	slider: markerPos = 1.985
3.2487 	EXP 	slider: markerPos = 1.985
3.2601 	EXP 	slider: markerPos = 1.985
3.2669 	EXP 	slider: markerPos = 1.985
3.2749 	EXP 	slider: markerPos = 1.985
3.2817 	EXP 	slider: markerPos = 1.985
3.2925 	EXP 	slider: markerPos = 1.985
3.2991 	EXP 	slider: markerPos = 1.985
3.3091 	EXP 	slider: markerPos = 1.985
3.3161 	EXP 	slider: markerPos = 1.985
3.3260 	EXP 	slider: markerPos = 1.985
3.3327 	EXP 	slider: markerPos = 1.985
3.3423 	EXP 	slider: markerPos = 1.985
3.3493 	EXP 	slider: markerPos = 1.985
3.3593 	EXP 	slider: markerPos = 1.985
3.3659 	EXP 	slider: markerPos = 1.985
3.3758 	EXP 	slider: markerPos = 1.985
3.3825 	EXP 	slider: markerPos = 1.985
3.3866 	DATA 	Mouse:  Left button up, pos=(297,164)
3.3925 	EXP 	slider: markerPos = 1.985
3.3989 	EXP 	slider: markerPos = 1.985
3.3995 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'study_word': 'book', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.4084 	EXP 	text: autoDraw = False
3.4084 	EXP 	slider: autoDraw = False
3.4084 	EXP 	text: height = 0.05
3.4084 	EXP 	text: height = 0.05
3.4084 	EXP 	text: height = 0.05
3.4084 	EXP 	text: text = 'book'
3.4084 	EXP 	slider: markerPos = None
3.4084 	EXP 	slider: markerPos = None
3.4084 	EXP 	text: autoDraw = True
3.4084 	EXP 	slider: autoDraw = True
3.7794 	DATA 	Mouse: Left button down, pos=(297,164)
3.7927 	EXP 	slider: markerPos = 1.985
3.7996 	EXP 	slider: markerPos = 1.985
3.8090 	EXP 	slider: markerPos = 1.985
3.8156 	EXP 	slider: markerPos = 1.985
3.8255 	EXP 	slider: markerPos = 1.985
3.8319 	EXP 	slider: markerPos = 1.985
3.8420 	EXP 	slider: markerPos = 1.985
3.8484 	EXP 	slider: markerPos = 1.985
3.8590 	EXP 	slider: markerPos = 1.985
3.8653 	EXP 	slider: markerPos = 1.985
3.8752 	EXP 	slider: markerPos = 1.985
3.8814 	EXP 	slider: markerPos = 1.985
3.8918 	EXP 	slider: markerPos = 1.985
3.8980 	EXP 	slider: markerPos = 1.985
3.9085 	EXP 	slider: markerPos = 1.985
3.9145 	EXP 	slider: markerPos = 1.985
3.9252 	EXP 	slider: markerPos = 1.985
3.9312 	EXP 	slider: markerPos = 1.985
3.9419 	EXP 	slider: markerPos = 1.985
3.9479 	EXP 	slider: markerPos = 1.985
3.9585 	EXP 	slider: markerPos = 1.985
3.9647 	EXP 	slider: markerPos = 1.985
3.9754 	EXP 	slider: markerPos = 1.985
3.9815 	EXP 	slider: markerPos = 1.985
3.9820 	DATA 	Mouse:  Left button up, pos=(297,164)
3.9918 	EXP 	slider: markerPos = 1.985
3.9923 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'study_word': 'board', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
4.0008 	EXP 	text: autoDraw = False
4.0008 	EXP 	slider: autoDraw = False
4.0008 	EXP 	text: height = 0.05
4.0008 	EXP 	text: height = 0.05
4.0008 	EXP 	text: height = 0.05
4.0008 	EXP 	text: text = 'board'
4.0008 	EXP 	slider: markerPos = None
4.0008 	EXP 	slider: markerPos = None
4.0008 	EXP 	text: autoDraw = True
4.0008 	EXP 	slider: autoDraw = True
4.3326 	DATA 	Mouse: Left button down, pos=(297,164)
4.3427 	EXP 	slider: markerPos = 1.985
4.3496 	EXP 	slider: markerPos = 1.985
4.3591 	EXP 	slider: markerPos = 1.985
4.3657 	EXP 	slider: markerPos = 1.985
4.3762 	EXP 	slider: markerPos = 1.985
4.3830 	EXP 	slider: markerPos = 1.985
4.3922 	EXP 	slider: markerPos = 1.985
4.3984 	EXP 	slider: markerPos = 1.985
4.4085 	EXP 	slider: markerPos = 1.985
4.4147 	EXP 	slider: markerPos = 1.985
4.4252 	EXP 	slider: markerPos = 1.985
4.4312 	EXP 	slider: markerPos = 1.985
4.4418 	EXP 	slider: markerPos = 1.985
4.4479 	EXP 	slider: markerPos = 1.985
4.4585 	EXP 	slider: markerPos = 1.985
4.4646 	EXP 	slider: markerPos = 1.985
4.4751 	EXP 	slider: markerPos = 1.985
4.4813 	EXP 	slider: markerPos = 1.985
4.4918 	EXP 	slider: markerPos = 1.985
4.4979 	EXP 	slider: markerPos = 1.985
4.5087 	EXP 	slider: markerPos = 1.985
4.5128 	DATA 	Mouse:  Left button up, pos=(297,164)
4.5150 	EXP 	slider: markerPos = 1.985
4.5251 	EXP 	slider: markerPos = 1.985
4.5257 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'study_word': 'Keys', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
4.5339 	EXP 	text: autoDraw = False
4.5339 	EXP 	slider: autoDraw = False
4.5339 	EXP 	text: height = 0.05
4.5339 	EXP 	text: height = 0.05
4.5339 	EXP 	text: height = 0.05
4.5339 	EXP 	text: text = 'Keys'
4.5339 	EXP 	slider: markerPos = None
4.5339 	EXP 	slider: markerPos = None
4.5339 	EXP 	text: autoDraw = True
4.5339 	EXP 	slider: autoDraw = True
4.8600 	DATA 	Mouse: Left button down, pos=(297,164)
4.8671 	EXP 	slider: markerPos = 1.985
4.8750 	EXP 	slider: markerPos = 1.985
4.8820 	EXP 	slider: markerPos = 1.985
4.8927 	EXP 	slider: markerPos = 1.985
4.8995 	EXP 	slider: markerPos = 1.985
4.9091 	EXP 	slider: markerPos = 1.985
4.9154 	EXP 	slider: markerPos = 1.985
4.9253 	EXP 	slider: markerPos = 1.985
4.9316 	EXP 	slider: markerPos = 1.985
4.9419 	EXP 	slider: markerPos = 1.985
4.9480 	EXP 	slider: markerPos = 1.985
4.9586 	EXP 	slider: markerPos = 1.985
4.9646 	EXP 	slider: markerPos = 1.985
4.9752 	EXP 	slider: markerPos = 1.985
4.9813 	EXP 	slider: markerPos = 1.985
4.9918 	EXP 	slider: markerPos = 1.985
4.9981 	EXP 	slider: markerPos = 1.985
5.0023 	DATA 	Mouse:  Left button up, pos=(297,164)
5.0087 	EXP 	slider: markerPos = 1.985
5.0147 	EXP 	slider: markerPos = 1.985
5.0152 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'study_word': 'Mouse', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
5.0250 	EXP 	text: autoDraw = False
5.0250 	EXP 	slider: autoDraw = False
5.0250 	EXP 	text: height = 0.05
5.0250 	EXP 	text: height = 0.05
5.0250 	EXP 	text: height = 0.05
5.0250 	EXP 	text: text = 'Mouse'
5.0250 	EXP 	slider: markerPos = None
5.0250 	EXP 	slider: markerPos = None
5.0250 	EXP 	text: autoDraw = True
5.0250 	EXP 	slider: autoDraw = True
5.2767 	DATA 	Mouse: Left button down, pos=(297,164)
5.2837 	EXP 	slider: markerPos = 1.985
5.2917 	EXP 	slider: markerPos = 1.985
5.2985 	EXP 	slider: markerPos = 1.985
5.3094 	EXP 	slider: markerPos = 1.985
5.3163 	EXP 	slider: markerPos = 1.985
5.3254 	EXP 	slider: markerPos = 1.985
5.3320 	EXP 	slider: markerPos = 1.985
5.3424 	EXP 	slider: markerPos = 1.985
5.3491 	EXP 	slider: markerPos = 1.985
5.3593 	EXP 	slider: markerPos = 1.985
5.3661 	EXP 	slider: markerPos = 1.985
